instrument,datetime,$open,$close,$high,$low,$volume,$factor,计算除权价,计算前复权价,计算后复权价,前复权价_方法1,前复权价_方法2
SH600519,2024-03-14,227.88597,227.5718,229.98587,226.89171,146375.11,0.13256893,1716.63,1752.1088,1716.6294,1752.1088,1716.6306
SH600519,2024-03-15,227.02432,227.68585,229.66245,226.95804,134523.06,0.13256896,1717.49,1752.9861,1717.489,1752.9861,1717.491
SH600519,2024-03-18,227.35564,226.46213,227.9986,225.23453,196539.4,0.13256888,1708.2601,1743.5665,1708.2601,1743.5665,1708.2601
SH600519,2024-03-19,225.76491,226.4304,228.01062,224.4538,180642.08,0.13256894,1708.02,1743.3206,1708.0192,1743.3206,1708.0209
SH600519,2024-03-20,225.81256,226.63979,227.18066,225.39761,115028.87,0.1325689,1709.6,1744.9338,1709.5997,1744.9338,1709.6002
SH600519,2024-03-21,226.44101,226.56032,227.886,225.96376,125187.47,0.13256894,1709.0,1744.3208,1708.9991,1744.3208,1709.0009
SH600519,2024-03-22,226.034,225.54614,226.55898,223.77635,192021.92,0.13256893,1701.35,1736.513,1701.3494,1736.513,1701.3506
SH600519,2024-03-25,225.17363,223.91025,225.20412,222.79268,184604.72,0.13256893,1689.01,1723.918,1689.0094,1723.918,1689.0106
SH600519,2024-03-26,223.7048,226.59879,227.0641,223.7048,211731.86,0.13256896,1709.2899,1744.6166,1709.289,1744.6166,1709.2909
SH600519,2024-03-27,226.03003,225.49974,226.95801,225.2346,136627.64,0.13256893,1701.0,1736.1558,1700.9994,1736.1558,1701.0006
SH600519,2024-03-28,224.70436,225.58461,227.75343,224.46573,185882.0,0.13256894,1701.64,1736.8087,1701.6392,1736.8087,1701.6409
SH600519,2024-03-29,225.58461,225.75165,226.82413,225.11531,101506.055,0.13256894,1702.9,1738.0948,1702.8992,1738.0948,1702.9009
SH600519,2024-04-01,226.69154,228.19487,229.87451,226.52052,204658.6,0.13256893,1721.33,1756.9059,1721.3293,1756.9059,1721.3306
SH600519,2024-04-02,228.28374,227.22186,228.68013,226.0367,191969.9,0.13256896,1713.99,1749.4138,1713.989,1749.4138,1713.991
SH600519,2024-04-03,229.87457,227.37035,230.59575,226.69556,219099.56,0.13256896,1715.11,1750.5569,1715.109,1750.5569,1715.111
SH600519,2024-04-08,224.70436,220.94736,224.83693,220.40913,446308.06,0.13256894,1666.66,1701.1058,1666.6592,1701.1058,1666.6609
SH600519,2024-04-09,220.15321,220.3587,221.7878,219.85892,193030.33,0.13256891,1662.2201,1696.5745,1662.2197,1696.5745,1662.2205
SH600519,2024-04-10,220.36531,218.4709,220.72589,218.07584,208423.69,0.1325689,1647.9801,1682.0404,1647.9799,1682.0404,1647.9803
SH600519,2024-04-11,217.42763,218.4736,218.73874,216.7091,171731.34,0.13256893,1648.0001,1682.0604,1647.9995,1682.0604,1648.0007
SH600519,2024-04-12,218.87126,216.62157,220.59465,216.62157,201739.1,0.1325689,1634.0302,1667.8021,1634.0299,1667.8021,1634.0304
SH600519,2024-04-15,216.75157,221.78522,222.13388,216.7476,270181.72,0.13256896,1672.9801,1707.5563,1672.9792,1707.5563,1672.9811
SH600519,2024-04-16,220.79219,221.39008,222.65744,219.93182,198132.66,0.13256891,1670.0,1704.5153,1669.9996,1704.5153,1670.0004
SH600519,2024-04-17,221.12497,220.9924,222.07947,219.79929,187216.64,0.13256893,1667.0,1701.453,1666.9994,1701.453,1667.0006
SH600519,2024-04-18,219.93317,221.4935,223.11084,219.82314,200412.05,0.13256893,1670.7799,1705.311,1670.7793,1705.311,1670.7805
SH600519,2024-04-19,220.16776,218.29323,221.1912,217.58267,177265.72,0.1325689,1646.6399,1680.6725,1646.6396,1680.6725,1646.6401
SH600519,2024-04-22,219.26901,222.06091,222.56732,218.07588,225930.7,0.13256893,1675.06,1709.6797,1675.0594,1709.6797,1675.0607
SH600519,2024-04-23,222.05289,224.34369,224.70427,222.05289,188429.95,0.1325689,1692.28,1727.256,1692.2798,1727.256,1692.2803
SH600519,2024-04-24,224.96672,224.51865,225.35515,223.15717,128887.195,0.13256887,1693.6001,1728.6036,1693.6003,1728.6036,1693.5999
SH600519,2024-04-25,224.08514,224.44441,224.78378,223.01399,109199.69,0.13256888,1693.0399,1728.0317,1693.0399,1728.0317,1693.0399
SH600519,2024-04-26,224.57181,226.61734,227.22319,224.56915,233809.8,0.13256896,1709.4299,1744.7595,1709.429,1744.7595,1709.4309
SH600519,2024-04-29,224.96281,225.89742,229.07907,224.54787,311779.22,0.13256891,1703.9999,1739.2178,1703.9995,1739.2178,1704.0002
SH600519,2024-04-30,226.03136,226.03003,229.32835,226.03003,232029.4,0.13256894,1704.9999,1740.238,1704.999,1740.238,1705.0007
SH600519,2024-05-06,229.87045,233.34773,233.98405,228.94644,451912.2,0.13256887,1760.2001,1796.5802,1760.2003,1796.5802,1760.1998
SH600519,2024-05-07,234.08893,234.64703,235.68108,232.88123,188011.75,0.13256896,1769.9999,1806.5812,1769.9989,1806.5812,1770.001
SH600519,2024-05-08,234.60594,233.84764,234.64307,232.74733,111406.86,0.13256894,1763.9701,1800.427,1763.9692,1800.427,1763.971
SH600519,2024-05-09,233.05609,232.79095,233.98143,231.99554,168873.27,0.13256888,1756.0,1792.2931,1756.0,1792.2931,1756.0
SH600519,2024-05-10,233.4671,230.53467,234.3659,229.87315,197682.94,0.13256891,1738.9799,1774.9208,1738.9795,1774.9208,1738.9802
SH600519,2024-05-13,229.61209,226.16264,229.69693,225.52896,284094.56,0.13256896,1706.0,1741.2587,1705.9991,1741.2587,1706.001
SH600519,2024-05-14,226.16125,225.62965,227.12636,225.3685,160476.3,0.13256893,1701.98,1737.1559,1701.9794,1737.1559,1701.9806
SH600519,2024-05-15,225.70917,225.36713,226.42769,225.1802,118721.36,0.1325689,1700.0,1735.1355,1699.9998,1735.1355,1700.0002
SH600519,2024-05-16,226.03001,225.96373,226.67694,224.04147,223880.08,0.13256893,1704.5,1739.728,1704.4994,1739.728,1704.5006
SH600519,2024-05-17,225.36845,227.35567,227.56512,225.36713,218179.98,0.1325689,1715.0001,1750.4456,1714.9999,1750.4456,1715.0004
SH600519,2024-05-20,227.7521,226.56032,229.74065,226.44234,237051.9,0.13256894,1709.0,1744.3208,1708.9991,1744.3208,1709.0009
SH600519,2024-05-21,226.42773,226.03003,226.65709,225.12326,122905.04,0.13256894,1704.9999,1740.238,1704.999,1740.238,1705.0007
SH600519,2024-05-22,225.7649,225.06361,226.68758,224.17407,153019.86,0.13256894,1697.71,1732.7975,1697.7091,1732.7975,1697.7108
SH600519,2024-05-23,225.36714,224.3079,226.21292,224.05205,142454.0,0.13256891,1692.0099,1726.98,1692.0095,1726.98,1692.0103
SH600519,2024-05-24,224.43916,222.32866,224.7043,222.31805,152499.03,0.13256891,1677.08,1711.7415,1677.0796,1711.7415,1677.0803
SH600519,2024-05-27,222.45058,221.40594,223.70335,221.12622,189319.77,0.13256888,1670.12,1704.6381,1670.12,1704.6381,1670.12
SH600519,2024-05-28,221.44319,220.6796,222.07555,220.46219,177423.66,0.13256897,1664.6399,1699.0436,1664.6388,1699.0436,1664.6411
SH600519,2024-05-29,220.85982,221.92036,222.71577,220.72725,148234.45,0.13256891,1674.0,1708.5979,1673.9996,1708.5979,1674.0004
SH600519,2024-05-30,222.05301,218.60622,222.10338,218.60622,242952.2,0.13256896,1649.0001,1683.0807,1648.9993,1683.0807,1649.0011
SH600519,2024-05-31,218.80492,218.53316,220.52832,218.53316,164870.16,0.13256887,1648.4501,1682.5205,1648.4503,1682.5205,1648.4498
SH600519,2024-06-03,218.73877,217.33221,218.86073,216.76482,228266.5,0.13256896,1639.39,1673.272,1639.3892,1673.272,1639.391
